geoid,Freq.,Percent,Cum.
     1001,8900,0.03,0.03
     1003,8900,0.03,0.06
     1005,8900,0.03,0.09
     1007,8900,0.03,0.12
     1009,8900,0.03,0.15
     1011,8900,0.03,0.18
     1013,8900,0.03,0.21
     1015,8900,0.03,0.24
     1017,8900,0.03,0.27
     1019,8900,0.03,0.30
     1021,8900,0.03,0.33
     1023,8900,0.03,0.36
     1025,8900,0.03,0.39
     1027,8900,0.03,0.42
     1029,8900,0.03,0.45
     1031,8900,0.03,0.48
     1033,8900,0.03,0.51
     1035,8900,0.03,0.54
     1037,8900,0.03,0.57
     1039,8900,0.03,0.60
     1041,8900,0.03,0.63
     1043,8900,0.03,0.66
     1045,8900,0.03,0.69
     1047,8900,0.03,0.72
     1049,8900,0.03,0.75
     1051,8900,0.03,0.78
     1053,8900,0.03,0.81
     1055,8900,0.03,0.84
     1057,8900,0.03,0.87
     1059,8900,0.03,0.90
     1061,8900,0.03,0.93
     1063,8900,0.03,0.96
     1065,8900,0.03,0.99
     1067,8900,0.03,1.02
     1069,8900,0.03,1.05
     1071,8900,0.03,1.08
     1073,8900,0.03,1.11
     1075,8900,0.03,1.14
     1077,8900,0.03,1.17
     1079,8900,0.03,1.20
     1081,8900,0.03,1.23
     1083,8900,0.03,1.26
     1085,8900,0.03,1.29
     1087,8900,0.03,1.32
     1089,8900,0.03,1.35
     1091,8900,0.03,1.38
     1093,8900,0.03,1.41
     1095,8900,0.03,1.44
     1097,8900,0.03,1.47
     1099,8900,0.03,1.50
     1101,8900,0.03,1.53
     1103,8900,0.03,1.56
     1105,8900,0.03,1.59
     1107,8900,0.03,1.62
     1109,8900,0.03,1.65
     1111,8900,0.03,1.68
     1113,8900,0.03,1.71
     1115,8900,0.03,1.74
     1117,8900,0.03,1.77
     1119,8900,0.03,1.80
     1121,8900,0.03,1.83
     1123,8900,0.03,1.86
     1125,8900,0.03,1.89
     1127,8900,0.03,1.92
     1129,8900,0.03,1.95
     1131,8900,0.03,1.98
     1133,8900,0.03,2.01
     2013,8900,0.03,2.04
     2016,8786,0.03,2.07
     2020,8900,0.03,2.10
     2050,8900,0.03,2.13
     2060,8900,0.03,2.16
     2068,8900,0.03,2.19
     2070,8900,0.03,2.22
     2090,8900,0.03,2.25
     2100,8900,0.03,2.28
     2105,8900,0.03,2.31
     2110,8900,0.03,2.34
     2122,8900,0.03,2.37
     2130,8900,0.03,2.40
     2150,8900,0.03,2.43
     2164,8900,0.03,2.46
     2170,8900,0.03,2.49
     2180,8900,0.03,2.52
     2185,8621,0.03,2.55
     2188,8900,0.03,2.58
     2195,8900,0.03,2.61
     2198,8900,0.03,2.64
     2220,8900,0.03,2.67
     2230,8900,0.03,2.70
     2240,8900,0.03,2.73
     2261,8900,0.03,2.76
     2270,8900,0.03,2.79
     2275,8900,0.03,2.82
     2282,8900,0.03,2.85
     2290,8900,0.03,2.88
     4001,8900,0.03,2.91
     4003,8900,0.03,2.94
     4005,8900,0.03,2.97
     4007,8900,0.03,3.00
     4009,8900,0.03,3.03
     4011,8900,0.03,3.06
     4012,8900,0.03,3.09
     4013,8900,0.03,3.12
     4015,8900,0.03,3.15
     4017,8900,0.03,3.18
     4019,8900,0.03,3.21
     4021,8900,0.03,3.24
     4023,8900,0.03,3.27
     4025,8900,0.03,3.30
     4027,8900,0.03,3.33
     5001,8900,0.03,3.36
     5003,8900,0.03,3.39
     5005,8900,0.03,3.42
     5007,8900,0.03,3.45
     5009,8900,0.03,3.48
     5011,8900,0.03,3.51
     5013,8900,0.03,3.54
     5015,8900,0.03,3.57
     5017,8900,0.03,3.60
     5019,8900,0.03,3.63
     5021,8900,0.03,3.66
     5023,8900,0.03,3.69
     5025,8900,0.03,3.72
     5027,8900,0.03,3.75
     5029,8900,0.03,3.78
     5031,8900,0.03,3.81
     5033,8900,0.03,3.84
     5035,8900,0.03,3.87
     5037,8900,0.03,3.90
     5039,8900,0.03,3.93
     5041,8900,0.03,3.96
     5043,8900,0.03,3.99
     5045,8900,0.03,4.02
     5047,8900,0.03,4.05
     5049,8900,0.03,4.08
     5051,8900,0.03,4.11
     5053,8900,0.03,4.14
     5055,8900,0.03,4.17
     5057,8900,0.03,4.20
     5059,8900,0.03,4.23
     5061,8900,0.03,4.26
     5063,8900,0.03,4.29
     5065,8900,0.03,4.32
     5067,8900,0.03,4.35
     5069,8900,0.03,4.38
     5071,8900,0.03,4.41
     5073,8900,0.03,4.44
     5075,8900,0.03,4.47
     5077,8900,0.03,4.50
     5079,8900,0.03,4.53
     5081,8900,0.03,4.56
     5083,8900,0.03,4.59
     5085,8900,0.03,4.62
     5087,8900,0.03,4.65
     5089,8900,0.03,4.68
     5091,8900,0.03,4.71
     5093,8900,0.03,4.74
     5095,8900,0.03,4.77
     5097,8900,0.03,4.80
     5099,8900,0.03,4.83
     5101,8900,0.03,4.86
     5103,8900,0.03,4.89
     5105,8900,0.03,4.92
     5107,8900,0.03,4.95
     5109,8900,0.03,4.98
     5111,8900,0.03,5.01
     5113,8900,0.03,5.04
     5115,8900,0.03,5.07
     5117,8900,0.03,5.10
     5119,8900,0.03,5.13
     5121,8900,0.03,5.16
     5123,8900,0.03,5.19
     5125,8900,0.03,5.22
     5127,8900,0.03,5.25
     5129,8900,0.03,5.28
     5131,8900,0.03,5.31
     5133,8900,0.03,5.34
     5135,8900,0.03,5.37
     5137,8900,0.03,5.40
     5139,8900,0.03,5.43
     5141,8900,0.03,5.46
     5143,8900,0.03,5.49
     5145,8900,0.03,5.52
     5147,8900,0.03,5.55
     5149,8900,0.03,5.58
     6001,8900,0.03,5.61
     6003,8900,0.03,5.64
     6005,8900,0.03,5.67
     6007,8900,0.03,5.70
     6009,8900,0.03,5.73
     6011,8900,0.03,5.76
     6013,8900,0.03,5.79
     6015,8900,0.03,5.82
     6017,8900,0.03,5.85
     6019,8900,0.03,5.88
     6021,8900,0.03,5.91
     6023,8900,0.03,5.94
     6025,8900,0.03,5.97
     6027,8900,0.03,6.00
     6029,8900,0.03,6.03
     6031,8900,0.03,6.06
     6033,8900,0.03,6.09
     6035,8900,0.03,6.12
     6037,8900,0.03,6.15
     6039,8900,0.03,6.18
     6041,8900,0.03,6.21
     6043,8900,0.03,6.24
     6045,8900,0.03,6.27
     6047,8900,0.03,6.30
     6049,8900,0.03,6.33
     6051,8900,0.03,6.36
     6053,8900,0.03,6.39
     6055,8900,0.03,6.42
     6057,8900,0.03,6.45
     6059,8900,0.03,6.48
     6061,8900,0.03,6.51
     6063,8900,0.03,6.54
     6065,8900,0.03,6.57
     6067,8900,0.03,6.60
     6069,8900,0.03,6.63
     6071,8900,0.03,6.66
     6073,8900,0.03,6.69
     6075,8900,0.03,6.72
     6077,8900,0.03,6.75
     6079,8900,0.03,6.78
     6081,8900,0.03,6.81
     6083,8900,0.03,6.84
     6085,8900,0.03,6.87
     6087,8900,0.03,6.90
     6089,8900,0.03,6.93
     6091,8900,0.03,6.96
     6093,8900,0.03,6.99
     6095,8900,0.03,7.02
     6097,8900,0.03,7.05
     6099,8900,0.03,7.08
     6101,8900,0.03,7.11
     6103,8900,0.03,7.14
     6105,8900,0.03,7.17
     6107,8900,0.03,7.20
     6109,8900,0.03,7.23
     6111,8900,0.03,7.26
     6113,8900,0.03,7.29
     6115,8900,0.03,7.32
     8001,8900,0.03,7.35
     8003,8900,0.03,7.38
     8005,8900,0.03,7.41
     8007,8900,0.03,7.44
     8009,8900,0.03,7.47
